,index,sqft
1051,"1,186 sqft",47
1052,"2,027 sqft",47
1053,"1,607 sqft",47
1054,"1,718 sqft",47
1055,"1,847 sqft",47
1056,"1,507 sqft",47
1057,"1,367 sqft",47
1058,"1,549 sqft",47
1059,"2,275 sqft",47
1060,"2,336 sqft",47
1061,"3,040 sqft",47
1062,"1,078 sqft",47
1063,"1,699 sqft",47
1064,"1,085 sqft",47
1065,"1,567 sqft",47
1066,520 sqft,47
1067,"1,401 sqft",47
1068,"2,065 sqft",47
1069,"1,477 sqft",47
1070,"1,865 sqft",47
1071,"1,143 sqft",47
1072,"1,247 sqft",47
1073,"1,445 sqft",47
1074,"1,571 sqft",47
1075,670 sqft,47
1076,"1,209 sqft",47
1077,"1,137 sqft",47
1078,"2,940 sqft",47
1079,"5,500 sqft",46
