,index,num_series
2146,95120,32
2147,85051,32
2148,11428,32
2149,49331,32
2150,65202,32
2151,94118,32
2152,90715,32
2153,10456,32
2154,97214,32
2155,50436,32
2156,95991,31
2157,48226,31
2158,77076,31
2159,44115,31
2160,22314,31
2161,95624,31
2162,30606,31
2163,91505,31
2164,95131,31
2165,78729,31
2166,98296,31
2167,92606,31
2168,04937,31
2169,92203,31
2170,75246,31
2171,91402,31
2172,45213,31
2173,14209,31
2174,91011,31
2175,02128,31
2176,92057,31
2177,37189,31
2178,97232,31
2179,77046,31
2180,98020,30
2181,91405,30
2182,85029,30
2183,92407,30
2184,80113,30
2185,10302,30
2186,97215,30
2187,78756,30
2188,98148,30
2189,95127,30
2190,31093,30
2191,94116,30
2192,80547,30
2193,95864,30
2194,90230,30
2195,94123,30
2196,63109,30
2197,11363,30
2198,92503,30
2199,19114,30
2200,45215,30
2201,61614,29
2202,76541,29
2203,10039,29
2204,79915,29
2205,80216,29
2206,98373,29
2207,17603,29
2208,93035,29
2209,45219,29
2210,90732,29
2211,30906,29
2212,43138,29
2213,95129,29
2214,80236,29
2215,75007,29
2216,5403,29
2217,89052,29
2218,85023,29
2219,79605,29
2220,37347,29
2221,2114,29
2222,48237,29
2223,20706,29
2224,12211,29
2225,91325,29
2226,22201,29
2227,5476,29
2228,98338,29
2229,02129,29
2230,77830,29
2231,93703,29
2232,94122,29
2233,92084,29
2234,90712,29
2235,95409,28
2236,90001,28
2237,61615,28
2238,90066,28
2239,75023,28
2240,31904,28
2241,97205,28
2242,90025,28
2243,05450,28
2244,97123,28
2245,80016,28
2246,24435,28
2247,85373,28
2248,60707,28
2249,60661,28
2250,75024,28
2251,60120,28
2252,32789,28
2253,92026,28
2254,19129,28
2255,5440,28
2256,80126,28
2257,80528,28
2258,5454,28
2259,93619,28
2260,13215,28
2261,13203,28
2262,22003,28
2263,11692,27
2264,34233,27
2265,92123,27
2266,92708,27
2267,46268,27
2268,47401,27
2269,79124,27
2270,77701,27
2271,84604,27
2272,94555,27
2273,31643,27
2274,75033,27
2275,48210,27
2276,91307,27
2277,14222,27
2278,24266,27
2279,94158,27
2280,61604,27
2281,32601,27
2282,92394,27
2283,93309,27
2284,98403,27
2285,75075,27
2286,27605,27
2287,98053,27
2288,92545,27
2289,98092,27
2290,11416,27
2291,91761,27
2292,48809,27
2293,97701,27
2294,90002,27
2295,05454,27
2296,46514,27
2297,5445,26
2298,18103,26
2299,4957,26
2300,79110,26
2301,30501,26
2302,95758,26
2303,2135,26
2304,60073,26
2305,91501,26
2306,20772,26
2307,95050,26
2308,4666,26
2309,60506,26
2310,5672,26
2311,91732,26
2312,10035,26
2313,75093,26
2314,98607,26
2315,91101,26
2316,92706,26
2317,63103,26
2318,37909,26
2319,61704,26
2320,93550,26
2321,92029,26
2322,20852,26
2323,81005,26
2324,34236,26
2325,92110,26
2326,45220,26
2327,97442,26
2328,90094,26
2329,94134,26
2330,48103,26
2331,97703,25
2332,75001,25
2333,91343,25
2334,76205,25
2335,95350,25
2336,90713,25
2337,34239,25
2338,97301,25
2339,04666,25
2340,48178,25
2341,32092,25
2342,98446,25
2343,92335,25
2344,10034,25
2345,95116,25
2346,91320,25
2347,90293,25
2348,94117,25
2349,2124,25
2350,12204,25
2351,46254,25
2352,43046,25
2353,95821,25
2354,92691,25
2355,75702,25
2356,78552,25
2357,98375,25
2358,10459,25
2359,65203,25
2360,14208,25
2361,48229,25
2362,93001,25
2363,84128,25
2364,11693,25
2365,92563,25
2366,97302,25
2367,60565,24
2368,60606,24
2369,89011,24
2370,10472,24
2371,94609,24
2372,93311,24
2373,93063,24
2374,45251,24
2375,81503,24
2376,13212,24
2377,30750,24
2378,20912,24
2379,10040,24
2380,02124,24
2381,60435,24
2382,95826,24
2383,45207,24
2384,34234,24
2385,77642,24
2386,93291,24
2387,91411,24
2388,80525,24
2389,99216,24
2390,37302,24
2391,48910,24
2392,76501,24
2393,98007,24
2394,91913,24
2395,97504,24
2396,44313,24
2397,92544,24
2398,65802,24
2399,14217,24
